benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-035/uf20-035-c1.dd;5;11;5;8;5;5;5;5;5;0.1376345157623291
../data/dimacs_analysis/uf20-035/uf20-035-c2.dd;7;17;8;14;8;8;9;8;8;0.26053690910339355
../data/dimacs_analysis/uf20-035/uf20-035-c3.dd;17;43;19;38;19;18;21;22;21;0.9387142658233643
../data/dimacs_analysis/uf20-035/uf20-035-c4.dd;20;48;22;41;22;21;25;25;24;0.9750640392303467
../data/dimacs_analysis/uf20-035/uf20-035-c5.dd;24;57;27;47;27;26;27;30;29;1.350320816040039
../data/dimacs_analysis/uf20-035/uf20-035-c6.dd;34;75;40;64;40;39;38;44;42;2.069477081298828
../data/dimacs_analysis/uf20-035/uf20-035-c7.dd;55;119;66;102;66;64;61;73;68;3.6151325702667236
../data/dimacs_analysis/uf20-035/uf20-035-c8.dd;53;115;63;100;63;61;59;69;66;3.400721549987793
../data/dimacs_analysis/uf20-035/uf20-035-c9.dd;86;158;100;128;100;93;91;95;86;9.852778196334839
../data/dimacs_analysis/uf20-035/uf20-035-c10.dd;110;194;126;163;126;109;115;110;101;13.794291496276855
../data/dimacs_analysis/uf20-035/uf20-035-c11.dd;206;327;217;285;217;187;205;188;172;28.816845417022705
../data/dimacs_analysis/uf20-035/uf20-035-c12.dd;226;344;228;299;228;197;212;197;184;30.250617027282715
../data/dimacs_analysis/uf20-035/uf20-035-c13.dd;280;439;289;378;289;246;265;252;235;35.41658353805542
../data/dimacs_analysis/uf20-035/uf20-035-c14.dd;320;480;321;408;321;273;301;277;259;37.606043100357056
../data/dimacs_analysis/uf20-035/uf20-035-c15.dd;344;494;343;414;343;285;318;301;270;43.04877948760986
../data/dimacs_analysis/uf20-035/uf20-035-c16.dd;521;660;449;563;449;400;412;414;370;54.467047929763794
