benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../dimacs_analysis/uf20-03/uf20-03-c1.dd;5;12;5;9;5;5;5;5;6;0.14090180397033691
../dimacs_analysis/uf20-03/uf20-03-c2.dd;10;22;10;19;10;10;10;10;12;0.4504702091217041
../dimacs_analysis/uf20-03/uf20-03-c3.dd;22;53;25;47;25;25;22;25;27;1.3261594772338867
../dimacs_analysis/uf20-03/uf20-03-c4.dd;58;93;63;85;63;61;57;61;54;3.013350486755371
../dimacs_analysis/uf20-03/uf20-03-c5.dd;96;159;111;149;111;105;105;106;96;5.374312162399292
../dimacs_analysis/uf20-03/uf20-03-c6.dd;144;232;162;222;162;157;155;157;148;9.15984058380127
../dimacs_analysis/uf20-03/uf20-03-c7.dd;192;269;188;256;188;184;180;175;167;8.967883348464966
../dimacs_analysis/uf20-03/uf20-03-c8.dd;374;484;342;459;342;331;323;329;309;16.926493644714355
../dimacs_analysis/uf20-03/uf20-03-c9.dd;373;471;329;445;329;313;309;313;296;17.620197534561157
../dimacs_analysis/uf20-03/uf20-03-c10.dd;350;447;304;421;304;287;284;289;275;16.66886591911316
../dimacs_analysis/uf20-03/uf20-03-c11.dd;405;519;356;479;356;328;327;340;316;20.300944805145264
../dimacs_analysis/uf20-03/uf20-03-c12.dd;377;467;322;429;322;293;295;310;283;19.37127137184143
../dimacs_analysis/uf20-03/uf20-03-c13.dd;384;445;310;403;310;283;277;295;271;18.38706111907959
../dimacs_analysis/uf20-03/uf20-03-c14.dd;764;832;600;757;600;537;542;581;514;38.84627962112427
../dimacs_analysis/uf20-03/uf20-03-c15.dd;832;905;660;798;660;588;572;634;565;40.768778800964355
../dimacs_analysis/uf20-03/uf20-03-c16.dd;787;755;545;663;545;490;470;518;470;31.86147665977478
../dimacs_analysis/uf20-03/uf20-03-c17.dd;930;858;633;758;633;561;549;590;534;33.4224853515625
../dimacs_analysis/uf20-03/uf20-03-c18.dd;948;815;599;721;599;533;520;559;500;35.77341055870056
../dimacs_analysis/uf20-03/uf20-03-c19.dd;919;798;590;701;590;535;512;543;481;33.08232545852661
../dimacs_analysis/uf20-03/uf20-03-c20.dd;1267;975;751;852;751;639;649;682;590;41.03855919837952
../dimacs_analysis/uf20-03/uf20-03-c21.dd;1288;885;687;746;687;576;585;609;537;45.45844507217407
../dimacs_analysis/uf20-03/uf20-03-c22.dd;1595;1067;855;879;855;695;715;758;654;51.542206048965454
../dimacs_analysis/uf20-03/uf20-03-c23.dd;1650;1106;868;915;868;715;741;754;664;47.58520746231079
../dimacs_analysis/uf20-03/uf20-03-c24.dd;1714;1140;913;945;913;749;781;776;686;52.22215914726257
../dimacs_analysis/uf20-03/uf20-03-c25.dd;1798;1157;930;940;930;766;783;793;699;53.84782123565674
../dimacs_analysis/uf20-03/uf20-03-c26.dd;2674;1398;1181;1135;1181;953;985;1029;863;78.19858288764954
