benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-099/uf20-099-c1.dd;5;12;5;11;5;5;5;5;5;0.17185521125793457
../data/dimacs_analysis/uf20-099/uf20-099-c2.dd;12;29;15;26;15;14;15;15;14;0.6696615219116211
../data/dimacs_analysis/uf20-099/uf20-099-c3.dd;26;61;34;55;34;32;32;32;31;2.0913918018341064
../data/dimacs_analysis/uf20-099/uf20-099-c4.dd;40;81;44;75;44;42;42;42;40;3.534735679626465
../data/dimacs_analysis/uf20-099/uf20-099-c5.dd;61;119;69;110;69;64;64;65;64;5.129488468170166
../data/dimacs_analysis/uf20-099/uf20-099-c6.dd;63;121;74;112;74;68;67;67;64;5.749266147613525
../data/dimacs_analysis/uf20-099/uf20-099-c7.dd;109;151;108;142;108;91;102;106;87;6.3668787479400635
../data/dimacs_analysis/uf20-099/uf20-099-c8.dd;179;241;168;232;168;146;162;160;123;11.295487642288208
../data/dimacs_analysis/uf20-099/uf20-099-c9.dd;213;292;198;281;198;175;191;189;157;12.388384103775024
../data/dimacs_analysis/uf20-099/uf20-099-c10.dd;283;365;256;350;256;225;246;247;204;14.10966181755066
../data/dimacs_analysis/uf20-099/uf20-099-c11.dd;343;447;312;415;312;280;284;305;261;18.54529070854187
../data/dimacs_analysis/uf20-099/uf20-099-c12.dd;379;487;344;451;344;296;316;322;273;21.568493843078613
../data/dimacs_analysis/uf20-099/uf20-099-c13.dd;461;599;419;564;419;362;390;396;336;32.58045268058777
../data/dimacs_analysis/uf20-099/uf20-099-c14.dd;629;781;554;746;554;482;524;505;446;46.467971324920654
../data/dimacs_analysis/uf20-099/uf20-099-c15.dd;987;1004;778;964;778;652;745;687;581;55.625492572784424
