benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-038/uf20-038-c1.dd;5;12;5;9;5;5;5;5;6;0.16295862197875977
../data/dimacs_analysis/uf20-038/uf20-038-c2.dd;8;20;8;15;8;8;9;8;11;0.32934117317199707
../data/dimacs_analysis/uf20-038/uf20-038-c3.dd;12;31;14;23;14;14;14;14;15;0.551978349685669
../data/dimacs_analysis/uf20-038/uf20-038-c4.dd;17;45;21;34;21;21;24;21;21;0.9307575225830078
../data/dimacs_analysis/uf20-038/uf20-038-c5.dd;37;91;45;76;45;44;51;48;47;2.372420072555542
../data/dimacs_analysis/uf20-038/uf20-038-c6.dd;61;128;74;112;74;71;80;70;65;3.5871293544769287
../data/dimacs_analysis/uf20-038/uf20-038-c7.dd;67;139;85;118;85;79;83;77;69;4.4197609424591064
../data/dimacs_analysis/uf20-038/uf20-038-c8.dd;125;227;147;196;147;131;143;133;116;10.514887571334839
../data/dimacs_analysis/uf20-038/uf20-038-c9.dd;117;198;125;170;125;115;122;112;99;8.922731161117554
../data/dimacs_analysis/uf20-038/uf20-038-c10.dd;204;289;201;254;201;181;192;187;164;14.732648849487305
../data/dimacs_analysis/uf20-038/uf20-038-c11.dd;252;357;241;313;241;220;233;217;190;18.138415813446045
../data/dimacs_analysis/uf20-038/uf20-038-c12.dd;263;360;243;310;243;224;234;225;201;19.790637493133545
../data/dimacs_analysis/uf20-038/uf20-038-c13.dd;391;459;345;360;345;317;281;322;285;27.420893669128418
../data/dimacs_analysis/uf20-038/uf20-038-c14.dd;394;456;342;357;342;314;277;322;285;31.110045433044434
../data/dimacs_analysis/uf20-038/uf20-038-c15.dd;503;556;431;433;431;378;355;404;352;43.232441425323486
../data/dimacs_analysis/uf20-038/uf20-038-c16.dd;490;549;421;422;421;370;358;394;342;44.61075139045715
../data/dimacs_analysis/uf20-038/uf20-038-c17.dd;503;579;437;446;437;385;379;412;361;43.480814933776855
../data/dimacs_analysis/uf20-038/uf20-038-c18.dd;493;584;433;442;433;376;378;410;362;45.30325508117676
../data/dimacs_analysis/uf20-038/uf20-038-c19.dd;509;589;437;447;437;380;382;409;360;46.547301292419434
../data/dimacs_analysis/uf20-038/uf20-038-c20.dd;612;686;503;528;503;447;440;474;421;50.76863479614258
