benchmark,init,unfold,normal,bdd,zbdd,esr,abdd,czdd,tbdd,cbdd
C1908.iscas.var850,3255,5803,3333,3255,2992,3086,2416,2950,3254,2597
C1908.iscas.var851,3191,5547,3269,3191,2962,3022,2300,2918,3190,2592
C1908.iscas.var852,3191,5675,3301,3191,2987,3051,2437,2905,3190,2626
C1908.iscas.var853,3255,5739,3365,3255,3053,3113,2419,2971,3254,2652
C1908.iscas.var854,3191,5547,3301,3191,3007,3049,2423,2931,3190,2620
C1908.iscas.var855,3191,5547,3301,3191,3008,3046,2410,2934,3190,2620
C1908.iscas.var856,3607,6155,3685,3607,3343,3441,2756,3299,3606,2981
C1908.iscas.var857,3639,6187,3717,3639,3362,3483,2793,3321,3638,3002
C1908.iscas.var858,3543,5897,3623,3543,3302,3387,2707,3257,3542,2966
C1908.iscas.var859,3703,6249,3783,3703,3430,3547,2872,3385,3702,3069
C1908.iscas.var860,3607,5961,3687,3607,3368,3449,2782,3323,3606,3029
C1908.iscas.var861,3607,5961,3687,3607,3369,3448,2766,3324,3606,3034
C1908.iscas.var862,3703,6249,3783,3703,3434,3544,2829,3388,3702,3056
C1908.iscas.var863,3607,5961,3687,3607,3372,3446,2714,3326,3606,3033
C1908.iscas.var864,3607,5961,3687,3607,3373,3445,2708,3327,3606,3022
C1908.iscas.var865,3543,5897,3623,3543,3311,3379,2629,3265,3542,2944
C1908.iscas.var866,4839,6341,5029,4839,5029,4838,3651,4839,4839,4029
C1908.iscas.var899,145,311,182,145,174,142,117,140,145,129
C1908.iscas.var900,179,431,224,179,213,176,142,171,179,161
C1908.iscas.var901,101,268,138,101,128,94,84,95,101,94
C1908.iscas.var908,5731,8131,5877,5731,5873,5732,4312,5732,5731,4748
C1908.iscas.var909,8527,13279,9123,8527,9119,8527,6208,8527,8527,6786
C1908.iscas.var912,149,361,186,149,174,142,123,141,149,128
