benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-075/uf20-075-c1.dd;5;12;5;11;5;5;5;5;5;0.16785812377929688
../data/dimacs_analysis/uf20-075/uf20-075-c2.dd;12;30;12;28;12;12;12;15;16;0.5450642108917236
../data/dimacs_analysis/uf20-075/uf20-075-c3.dd;26;57;34;50;34;32;30;38;31;1.338794231414795
../data/dimacs_analysis/uf20-075/uf20-075-c4.dd;34;72;44;64;44;42;40;43;38;1.9031047821044922
../data/dimacs_analysis/uf20-075/uf20-075-c5.dd;68;133;88;118;88;84;78;80;72;4.260422945022583
../data/dimacs_analysis/uf20-075/uf20-075-c6.dd;132;233;158;218;158;140;154;149;131;9.824689149856567
../data/dimacs_analysis/uf20-075/uf20-075-c7.dd;118;214;143;194;143;129;134;135;118;9.395335912704468
../data/dimacs_analysis/uf20-075/uf20-075-c8.dd;198;301;221;272;221;198;207;207;181;12.938558340072632
../data/dimacs_analysis/uf20-075/uf20-075-c9.dd;250;349;261;320;261;230;247;241;207;14.966213703155518
../data/dimacs_analysis/uf20-075/uf20-075-c10.dd;246;345;249;316;249;226;231;231;205;15.203704833984375
../data/dimacs_analysis/uf20-075/uf20-075-c11.dd;364;467;349;434;349;307;329;323;277;22.214812755584717
../data/dimacs_analysis/uf20-075/uf20-075-c12.dd;382;515;389;478;389;333;367;349;290;29.76634907722473
../data/dimacs_analysis/uf20-075/uf20-075-c13.dd;616;736;587;660;587;492;538;539;436;56.490968465805054
