benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-080/uf20-080-c1.dd;5;12;5;11;5;5;5;5;5;0.16670680046081543
../data/dimacs_analysis/uf20-080/uf20-080-c2.dd;10;22;10;21;10;10;10;10;11;0.4752018451690674
../data/dimacs_analysis/uf20-080/uf20-080-c3.dd;22;50;24;48;24;23;23;25;24;1.3782920837402344
../data/dimacs_analysis/uf20-080/uf20-080-c4.dd;34;69;39;67;39;38;38;40;35;2.2828235626220703
../data/dimacs_analysis/uf20-080/uf20-080-c5.dd;59;111;67;109;67;65;66;67;58;4.270652532577515
../data/dimacs_analysis/uf20-080/uf20-080-c6.dd;82;158;90;153;90;88;94;95;86;5.91371488571167
../data/dimacs_analysis/uf20-080/uf20-080-c7.dd;99;184;105;170;105;103;113;109;104;7.05999755859375
../data/dimacs_analysis/uf20-080/uf20-080-c8.dd;206;375;233;352;233;229;234;224;214;20.711639404296875
../data/dimacs_analysis/uf20-080/uf20-080-c9.dd;286;480;293;446;293;289;290;289;276;29.76366686820984
../data/dimacs_analysis/uf20-080/uf20-080-c10.dd;423;661;420;619;420;397;422;411;369;44.47959589958191
../data/dimacs_analysis/uf20-080/uf20-080-c11.dd;534;767;510;714;510;469;505;485;426;51.73753499984741
