benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-098/uf20-098-c1.dd;5;11;5;8;5;5;5;5;5;0.16061758995056152
../data/dimacs_analysis/uf20-098/uf20-098-c2.dd;9;20;9;14;9;9;11;9;9;0.3306436538696289
../data/dimacs_analysis/uf20-098/uf20-098-c3.dd;11;24;13;18;13;13;15;11;11;0.42581868171691895
../data/dimacs_analysis/uf20-098/uf20-098-c4.dd;23;50;30;39;30;29;32;26;22;1.1602692604064941
../data/dimacs_analysis/uf20-098/uf20-098-c5.dd;27;55;34;43;34;32;36;30;26;1.1966922283172607
../data/dimacs_analysis/uf20-098/uf20-098-c6.dd;32;62;39;49;39;37;41;35;30;1.4073801040649414
../data/dimacs_analysis/uf20-098/uf20-098-c7.dd;54;108;65;90;65;62;70;60;54;2.9724209308624268
../data/dimacs_analysis/uf20-098/uf20-098-c8.dd;68;128;79;110;79;76;84;71;65;3.6282498836517334
../data/dimacs_analysis/uf20-098/uf20-098-c9.dd;94;175;113;154;113;108;116;98;88;6.089633226394653
../data/dimacs_analysis/uf20-098/uf20-098-c10.dd;143;249;166;213;166;160;169;150;140;10.166869163513184
../data/dimacs_analysis/uf20-098/uf20-098-c11.dd;198;315;224;251;224;205;202;201;181;12.68291449546814
../data/dimacs_analysis/uf20-098/uf20-098-c12.dd;323;493;366;392;366;330;321;322;284;33.386521339416504
../data/dimacs_analysis/uf20-098/uf20-098-c13.dd;399;589;446;462;446;397;380;396;350;37.461217403411865
../data/dimacs_analysis/uf20-098/uf20-098-c14.dd;473;630;495;498;495;425;423;455;395;42.70277166366577
../data/dimacs_analysis/uf20-098/uf20-098-c15.dd;522;698;553;547;553;474;465;498;440;49.29483389854431
../data/dimacs_analysis/uf20-098/uf20-098-c16.dd;619;691;537;558;537;463;468;487;430;51.54845666885376
