benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-059/uf20-059-c1.dd;5;11;6;8;6;6;4;6;5;0.13465571403503418
../data/dimacs_analysis/uf20-059/uf20-059-c2.dd;7;16;8;13;8;8;7;9;7;0.1939539909362793
../data/dimacs_analysis/uf20-059/uf20-059-c3.dd;16;37;17;30;17;16;19;20;19;0.6082985401153564
../data/dimacs_analysis/uf20-059/uf20-059-c4.dd;20;45;22;38;22;21;23;23;20;1.1895456314086914
../data/dimacs_analysis/uf20-059/uf20-059-c5.dd;40;82;50;70;50;49;47;47;46;2.728990316390991
../data/dimacs_analysis/uf20-059/uf20-059-c6.dd;49;101;63;87;63;61;60;59;58;3.1422624588012695
../data/dimacs_analysis/uf20-059/uf20-059-c7.dd;63;123;78;104;78;76;76;72;72;4.000528812408447
../data/dimacs_analysis/uf20-059/uf20-059-c8.dd;115;190;131;158;131;126;120;118;112;7.793578863143921
../data/dimacs_analysis/uf20-059/uf20-059-c9.dd;135;216;155;177;155;146;135;134;127;11.51227068901062
../data/dimacs_analysis/uf20-059/uf20-059-c10.dd;167;260;177;217;177;166;160;159;151;17.538390159606934
../data/dimacs_analysis/uf20-059/uf20-059-c11.dd;223;331;233;281;233;209;209;200;190;21.913703203201294
../data/dimacs_analysis/uf20-059/uf20-059-c12.dd;265;369;262;317;262;236;236;223;211;24.26313042640686
../data/dimacs_analysis/uf20-059/uf20-059-c13.dd;315;434;311;378;311;282;287;265;249;34.31845831871033
../data/dimacs_analysis/uf20-059/uf20-059-c14.dd;376;509;364;445;364;329;338;320;296;36.84346413612366
../data/dimacs_analysis/uf20-059/uf20-059-c15.dd;764;898;722;784;722;615;649;629;538;63.4107928276062
