benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../dimacs_analysis/uf20-06/uf20-06-c1.dd;6;11;6;10;6;6;6;4;5;0.09456038475036621
../dimacs_analysis/uf20-06/uf20-06-c2.dd;13;22;12;19;12;12;12;10;10;0.27274394035339355
../dimacs_analysis/uf20-06/uf20-06-c3.dd;21;35;20;29;20;19;18;18;18;0.5615427494049072
../dimacs_analysis/uf20-06/uf20-06-c4.dd;31;50;30;42;30;29;27;28;27;0.8474373817443848
../dimacs_analysis/uf20-06/uf20-06-c5.dd;43;73;41;61;41;39;39;39;38;1.538938283920288
../dimacs_analysis/uf20-06/uf20-06-c6.dd;52;83;49;67;49;47;42;46;45;1.9733293056488037
../dimacs_analysis/uf20-06/uf20-06-c7.dd;88;133;79;113;79;78;67;73;72;3.6762096881866455
../dimacs_analysis/uf20-06/uf20-06-c8.dd;170;223;142;187;142;136;116;134;127;6.132198810577393
../dimacs_analysis/uf20-06/uf20-06-c9.dd;296;426;257;383;257;256;232;250;246;16.74797749519348
../dimacs_analysis/uf20-06/uf20-06-c10.dd;313;450;272;407;272;271;247;271;262;19.21431040763855
../dimacs_analysis/uf20-06/uf20-06-c11.dd;360;512;317;456;317;312;280;314;299;22.473100423812866
../dimacs_analysis/uf20-06/uf20-06-c12.dd;370;523;322;456;322;312;301;316;301;24.667926788330078
../dimacs_analysis/uf20-06/uf20-06-c13.dd;368;516;320;448;320;306;300;316;304;23.765364408493042
../dimacs_analysis/uf20-06/uf20-06-c14.dd;496;574;395;494;395;338;351;358;325;21.762918949127197
../dimacs_analysis/uf20-06/uf20-06-c15.dd;801;762;628;658;628;484;566;552;442;27.555046319961548
../dimacs_analysis/uf20-06/uf20-06-c16.dd;800;744;615;632;615;474;553;530;436;27.351840019226074
../dimacs_analysis/uf20-06/uf20-06-c17.dd;903;805;675;680;675;510;594;551;454;28.743110179901123
../dimacs_analysis/uf20-06/uf20-06-c18.dd;855;779;652;663;652;514;569;528;440;31.557481050491333
../dimacs_analysis/uf20-06/uf20-06-c19.dd;938;859;737;720;737;578;637;584;489;30.67514204978943
../dimacs_analysis/uf20-06/uf20-06-c20.dd;915;836;710;704;710;560;620;560;474;34.0608434677124
../dimacs_analysis/uf20-06/uf20-06-c21.dd;1272;1061;946;887;946;727;818;757;627;50.64394927024841
../dimacs_analysis/uf20-06/uf20-06-c22.dd;1345;1143;1027;930;1027;783;860;816;684;51.43049645423889
../dimacs_analysis/uf20-06/uf20-06-c23.dd;1248;913;815;722;815;615;667;657;545;39.16793251037598
../dimacs_analysis/uf20-06/uf20-06-c24.dd;1246;930;830;736;830;628;680;665;553;44.93567371368408
../dimacs_analysis/uf20-06/uf20-06-c25.dd;1198;898;805;704;805;606;655;644;537;50.60927605628967
../dimacs_analysis/uf20-06/uf20-06-c26.dd;1198;870;778;682;778;585;635;630;523;45.20481491088867
../dimacs_analysis/uf20-06/uf20-06-c27.dd;1157;838;742;651;742;559;602;609;505;42.937755823135376
../dimacs_analysis/uf20-06/uf20-06-c28.dd;1295;905;806;703;806;606;656;667;549;49.96410298347473
../dimacs_analysis/uf20-06/uf20-06-c29.dd;1276;851;759;654;759;568;613;622;508;43.64354872703552
../dimacs_analysis/uf20-06/uf20-06-c30.dd;1320;841;733;656;733;563;608;608;494;40.60749530792236
../dimacs_analysis/uf20-06/uf20-06-c31.dd;1416;947;820;723;820;620;675;671;550;42.57119536399841
../dimacs_analysis/uf20-06/uf20-06-c32.dd;1371;914;796;700;796;595;655;641;524;41.32632303237915
../dimacs_analysis/uf20-06/uf20-06-c33.dd;1356;910;795;699;795;600;651;641;526;41.939127922058105
../dimacs_analysis/uf20-06/uf20-06-c34.dd;1402;940;828;699;828;606;647;659;544;43.53299641609192
../dimacs_analysis/uf20-06/uf20-06-c35.dd;1270;809;706;599;706;522;550;549;462;45.556055307388306
../dimacs_analysis/uf20-06/uf20-06-c36.dd;1208;731;647;551;647;465;507;470;407;43.08363938331604
../dimacs_analysis/uf20-06/uf20-06-c37.dd;1316;829;738;624;738;521;576;522;457;45.37748622894287
../dimacs_analysis/uf20-06/uf20-06-c38.dd;1219;725;635;520;635;451;476;472;409;39.02411389350891
../dimacs_analysis/uf20-06/uf20-06-c39.dd;1293;717;633;514;633;451;472;467;407;49.83737134933472
../dimacs_analysis/uf20-06/uf20-06-c40.dd;1404;773;680;569;680;487;523;503;434;53.860649824142456
../dimacs_analysis/uf20-06/uf20-06-c41.dd;1396;757;674;561;674;472;514;482;422;51.12733721733093
../dimacs_analysis/uf20-06/uf20-06-c42.dd;1350;692;617;501;617;429;463;442;384;49.87147760391235
../dimacs_analysis/uf20-06/uf20-06-c43.dd;1360;676;609;469;609;422;441;436;384;53.16326332092285
../dimacs_analysis/uf20-06/uf20-06-c44.dd;1335;649;587;447;587;407;421;413;368;59.694281578063965
../dimacs_analysis/uf20-06/uf20-06-c45.dd;1327;635;577;441;577;399;417;401;356;61.485515117645264
