benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-039/uf20-039-c1.dd;5;10;6;9;6;5;6;5;4;0.1228632926940918
../data/dimacs_analysis/uf20-039/uf20-039-c2.dd;10;18;14;14;14;13;10;12;10;0.2878713607788086
../data/dimacs_analysis/uf20-039/uf20-039-c3.dd;13;26;16;20;16;15;14;14;14;0.5283870697021484
../data/dimacs_analysis/uf20-039/uf20-039-c4.dd;18;39;26;30;26;25;22;23;20;1.1754329204559326
../data/dimacs_analysis/uf20-039/uf20-039-c5.dd;34;59;43;48;43;41;35;39;31;2.130178928375244
../data/dimacs_analysis/uf20-039/uf20-039-c6.dd;53;87;61;75;61;56;53;56;47;3.5815513134002686
../data/dimacs_analysis/uf20-039/uf20-039-c7.dd;81;120;89;105;89;80;81;86;74;4.336494445800781
../data/dimacs_analysis/uf20-039/uf20-039-c8.dd;93;145;102;126;102;92;96;100;88;5.625360488891602
../data/dimacs_analysis/uf20-039/uf20-039-c9.dd;143;223;154;194;154;147;146;150;140;9.928148746490479
../data/dimacs_analysis/uf20-039/uf20-039-c10.dd;143;223;153;194;153;146;146;149;138;9.862867832183838
../data/dimacs_analysis/uf20-039/uf20-039-c11.dd;237;341;237;299;237;214;229;226;203;16.57376456260681
../data/dimacs_analysis/uf20-039/uf20-039-c12.dd;364;450;351;407;351;297;330;323;269;22.81264591217041
../data/dimacs_analysis/uf20-039/uf20-039-c13.dd;422;499;392;452;392;338;374;361;303;28.3098361492157
../data/dimacs_analysis/uf20-039/uf20-039-c14.dd;577;690;544;630;544;468;519;480;408;41.39882516860962
../data/dimacs_analysis/uf20-039/uf20-039-c15.dd;534;654;516;595;516;447;486;448;383;38.106036901474
../data/dimacs_analysis/uf20-039/uf20-039-c16.dd;540;668;534;597;534;461;497;466;401;40.82182741165161
../data/dimacs_analysis/uf20-039/uf20-039-c17.dd;827;986;784;875;784;676;736;696;589;61.684301137924194
