benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-066/uf20-066-c1.dd;5;12;5;11;5;5;5;5;5;0.22476768493652344
../data/dimacs_analysis/uf20-066/uf20-066-c2.dd;12;30;14;28;14;14;14;17;14;0.7471630573272705
../data/dimacs_analysis/uf20-066/uf20-066-c3.dd;18;41;20;38;20;20;20;22;19;1.2094025611877441
../data/dimacs_analysis/uf20-066/uf20-066-c4.dd;23;50;25;43;25;25;26;27;24;1.7193076610565186
../data/dimacs_analysis/uf20-066/uf20-066-c5.dd;41;81;48;72;48;47;46;42;39;3.350468635559082
../data/dimacs_analysis/uf20-066/uf20-066-c6.dd;72;138;84;125;84;82;82;74;69;6.691572666168213
../data/dimacs_analysis/uf20-066/uf20-066-c7.dd;142;246;174;232;174;172;163;149;133;12.924362421035767
../data/dimacs_analysis/uf20-066/uf20-066-c8.dd;156;256;183;242;183;179;171;157;141;12.809454202651978
../data/dimacs_analysis/uf20-066/uf20-066-c9.dd;168;267;191;248;191;183;177;167;151;15.014771461486816
../data/dimacs_analysis/uf20-066/uf20-066-c10.dd;233;353;255;319;255;241;232;215;198;19.82379651069641
../data/dimacs_analysis/uf20-066/uf20-066-c11.dd;346;520;387;471;387;349;356;329;291;32.99299883842468
../data/dimacs_analysis/uf20-066/uf20-066-c12.dd;378;548;409;499;409;364;374;354;307;31.65798783302307
../data/dimacs_analysis/uf20-066/uf20-066-c13.dd;377;533;399;484;399;357;366;338;298;27.18439793586731
../data/dimacs_analysis/uf20-066/uf20-066-c14.dd;426;582;424;533;424;368;387;380;335;31.02662205696106
../data/dimacs_analysis/uf20-066/uf20-066-c15.dd;436;592;434;539;434;376;394;390;342;33.64205622673035
../data/dimacs_analysis/uf20-066/uf20-066-c16.dd;486;621;453;566;453;385;413;403;354;36.56396222114563
../data/dimacs_analysis/uf20-066/uf20-066-c17.dd;645;657;499;593;499;398;452;447;377;38.26252579689026
../data/dimacs_analysis/uf20-066/uf20-066-c18.dd;846;796;604;730;604;481;556;545;462;43.6457359790802
../data/dimacs_analysis/uf20-066/uf20-066-c19.dd;977;893;677;827;677;538;629;618;523;47.27676606178284
../data/dimacs_analysis/uf20-066/uf20-066-c20.dd;1001;894;703;827;703;567;649;618;523;53.31888961791992
