benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-092/uf20-092-c1.dd;5;11;6;9;6;6;5;5;4;0.16115283966064453
../data/dimacs_analysis/uf20-092/uf20-092-c2.dd;9;20;11;15;10;11;10;10;9;0.3225674629211426
../data/dimacs_analysis/uf20-092/uf20-092-c3.dd;15;36;19;27;18;19;18;17;17;0.8332748413085938
../data/dimacs_analysis/uf20-092/uf20-092-c4.dd;33;75;37;62;36;37;40;39;38;2.185830593109131
../data/dimacs_analysis/uf20-092/uf20-092-c5.dd;61;130;88;108;87;84;81;88;79;5.320281028747559
../data/dimacs_analysis/uf20-092/uf20-092-c6.dd;83;167;112;136;111;104;101;112;99;6.6886022090911865
../data/dimacs_analysis/uf20-092/uf20-092-c7.dd;109;206;137;166;136;129;117;135;123;8.761734008789062
../data/dimacs_analysis/uf20-092/uf20-092-c8.dd;192;341;248;272;248;227;203;242;215;15.906446695327759
../data/dimacs_analysis/uf20-092/uf20-092-c9.dd;216;372;272;302;272;247;229;266;233;18.589643955230713
../data/dimacs_analysis/uf20-092/uf20-092-c10.dd;270;401;300;322;300;261;252;285;257;18.60649824142456
../data/dimacs_analysis/uf20-092/uf20-092-c11.dd;380;568;441;457;441;390;366;420;367;28.95772886276245
../data/dimacs_analysis/uf20-092/uf20-092-c12.dd;521;720;556;578;556;487;459;531;463;38.85382533073425
../data/dimacs_analysis/uf20-092/uf20-092-c13.dd;567;764;597;616;597;536;493;573;500;42.74469828605652
../data/dimacs_analysis/uf20-092/uf20-092-c14.dd;719;842;651;672;651;584;558;631;535;47.827792167663574
../data/dimacs_analysis/uf20-092/uf20-092-c15.dd;799;930;724;760;724;662;630;679;590;56.110076665878296
