benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-042/uf20-042-c1.dd;5;12;5;11;5;5;5;5;5;0.14047527313232422
../data/dimacs_analysis/uf20-042/uf20-042-c2.dd;11;27;15;24;15;15;15;13;11;0.5389745235443115
../data/dimacs_analysis/uf20-042/uf20-042-c3.dd;24;53;34;49;34;32;33;31;26;1.4341585636138916
../data/dimacs_analysis/uf20-042/uf20-042-c4.dd;24;53;33;48;33;31;32;30;25;1.2589917182922363
../data/dimacs_analysis/uf20-042/uf20-042-c5.dd;28;64;38;58;38;36;37;36;31;1.6830029487609863
../data/dimacs_analysis/uf20-042/uf20-042-c6.dd;41;86;52;78;52;49;52;52;44;2.3714659214019775
../data/dimacs_analysis/uf20-042/uf20-042-c7.dd;43;88;53;79;53;50;53;51;44;2.265418529510498
../data/dimacs_analysis/uf20-042/uf20-042-c8.dd;55;107;66;93;66;61;63;64;55;3.125134229660034
../data/dimacs_analysis/uf20-042/uf20-042-c9.dd;110;211;137;196;137;125;129;131;114;7.160590410232544
../data/dimacs_analysis/uf20-042/uf20-042-c10.dd;162;282;187;265;187;171;179;176;154;10.170007467269897
../data/dimacs_analysis/uf20-042/uf20-042-c11.dd;190;308;217;290;217;195;209;179;157;11.511258840560913
../data/dimacs_analysis/uf20-042/uf20-042-c12.dd;325;499;349;444;349;308;323;309;275;27.26997995376587
../data/dimacs_analysis/uf20-042/uf20-042-c13.dd;377;548;395;477;395;339;354;348;306;27.425062656402588
../data/dimacs_analysis/uf20-042/uf20-042-c14.dd;630;886;659;804;659;555;603;552;467;49.84291744232178
../data/dimacs_analysis/uf20-042/uf20-042-c15.dd;950;1186;958;1044;958;775;868;778;654;66.31462931632996
