benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-094/uf20-094-c1.dd;5;10;6;8;6;6;5;5;4;0.12189412117004395
../data/dimacs_analysis/uf20-094/uf20-094-c2.dd;11;26;13;23;13;13;13;13;13;0.4701364040374756
../data/dimacs_analysis/uf20-094/uf20-094-c3.dd;24;56;26;52;26;26;28;31;30;1.2402563095092773
../data/dimacs_analysis/uf20-094/uf20-094-c4.dd;56;133;63;128;63;61;61;73;69;4.385620355606079
../data/dimacs_analysis/uf20-094/uf20-094-c5.dd;90;211;110;197;110;106;105;121;113;8.06054401397705
../data/dimacs_analysis/uf20-094/uf20-094-c6.dd;110;239;130;222;130;126;125;138;128;10.517100811004639
../data/dimacs_analysis/uf20-094/uf20-094-c7.dd;212;452;284;420;284;280;271;292;278;24.89577841758728
../data/dimacs_analysis/uf20-094/uf20-094-c8.dd;256;503;325;453;325;317;299;329;316;27.048150300979614
../data/dimacs_analysis/uf20-094/uf20-094-c9.dd;328;566;381;493;381;367;345;378;359;31.674412488937378
../data/dimacs_analysis/uf20-094/uf20-094-c10.dd;394;585;389;516;389;366;345;376;355;34.8391227722168
../data/dimacs_analysis/uf20-094/uf20-094-c11.dd;430;612;422;542;422;383;377;408;376;39.691587924957275
../data/dimacs_analysis/uf20-094/uf20-094-c12.dd;493;637;439;577;439;398;403;426;393;41.55475425720215
../data/dimacs_analysis/uf20-094/uf20-094-c13.dd;695;736;525;659;525;480;473;506;458;49.82010865211487
../data/dimacs_analysis/uf20-094/uf20-094-c14.dd;849;872;631;793;631;574;577;605;542;62.29148769378662
