benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-071/uf20-071-c1.dd;5;12;5;9;5;5;5;5;5;0.16648268699645996
../data/dimacs_analysis/uf20-071/uf20-071-c2.dd;12;30;15;27;15;15;13;14;14;0.6073637008666992
../data/dimacs_analysis/uf20-071/uf20-071-c3.dd;26;61;31;56;31;30;28;32;30;1.4384407997131348
../data/dimacs_analysis/uf20-071/uf20-071-c4.dd;50;104;68;90;68;67;56;62;52;3.7310619354248047
../data/dimacs_analysis/uf20-071/uf20-071-c5.dd;108;212;157;185;157;152;132;143;123;10.174994468688965
../data/dimacs_analysis/uf20-071/uf20-071-c6.dd;204;390;277;340;277;272;230;254;222;19.750967502593994
../data/dimacs_analysis/uf20-071/uf20-071-c7.dd;272;482;341;424;341;334;286;318;281;27.87735414505005
../data/dimacs_analysis/uf20-071/uf20-071-c8.dd;404;726;516;630;516;507;424;476;424;48.04166507720947
../data/dimacs_analysis/uf20-071/uf20-071-c9.dd;420;727;532;614;532;517;424;494;438;43.941678524017334
../data/dimacs_analysis/uf20-071/uf20-071-c10.dd;602;970;749;825;749;720;608;699;624;57.56569695472717
