benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../dimacs_analysis/uf20-020/uf20-020-c1.dd;6;11;6;8;6;6;4;6;5;0.11429738998413086
../dimacs_analysis/uf20-020/uf20-020-c2.dd;9;20;9;15;9;9;8;9;10;0.3222005367279053
../dimacs_analysis/uf20-020/uf20-020-c3.dd;20;41;25;34;25;25;22;22;22;0.8983163833618164
../dimacs_analysis/uf20-020/uf20-020-c4.dd;38;76;49;68;49;47;44;41;38;1.8184270858764648
../dimacs_analysis/uf20-020/uf20-020-c5.dd;51;91;60;81;60;57;53;49;46;2.96620774269104
../dimacs_analysis/uf20-020/uf20-020-c6.dd;71;107;80;97;80;71;73;66;59;3.6109652519226074
../dimacs_analysis/uf20-020/uf20-020-c7.dd;100;141;108;129;108;95;100;87;77;4.729851961135864
../dimacs_analysis/uf20-020/uf20-020-c8.dd;126;185;140;173;140;123;133;113;100;5.8496575355529785
../dimacs_analysis/uf20-020/uf20-020-c9.dd;201;306;222;283;222;199;216;168;156;11.466618299484253
../dimacs_analysis/uf20-020/uf20-020-c10.dd;259;364;263;339;263;235;256;200;187;13.348520040512085
../dimacs_analysis/uf20-020/uf20-020-c11.dd;377;431;338;363;338;262;290;275;231;16.68845272064209
../dimacs_analysis/uf20-020/uf20-020-c12.dd;369;423;328;331;328;262;254;289;243;14.864729404449463
../dimacs_analysis/uf20-020/uf20-020-c13.dd;403;449;360;355;360;284;284;307;259;13.780330419540405
../dimacs_analysis/uf20-020/uf20-020-c14.dd;517;582;480;447;480;390;374;423;353;35.10016131401062
../dimacs_analysis/uf20-020/uf20-020-c15.dd;642;672;553;523;553;446;438;482;401;37.43952393531799
../dimacs_analysis/uf20-020/uf20-020-c16.dd;635;653;532;492;532;433;420;470;392;39.6402792930603
../dimacs_analysis/uf20-020/uf20-020-c17.dd;619;612;493;462;493;402;391;433;366;35.56525731086731
../dimacs_analysis/uf20-020/uf20-020-c18.dd;737;763;600;578;600;494;476;526;451;38.24098563194275
../dimacs_analysis/uf20-020/uf20-020-c19.dd;930;997;783;765;783;640;627;671;577;54.356605768203735
../dimacs_analysis/uf20-020/uf20-020-c20.dd;889;953;751;730;751;601;603;636;554;56.18404817581177
../dimacs_analysis/uf20-020/uf20-020-c21.dd;914;947;755;724;755;594;610;633;551;58.70674705505371
../dimacs_analysis/uf20-020/uf20-020-c22.dd;920;892;714;671;714;563;588;600;520;52.15140986442566
../dimacs_analysis/uf20-020/uf20-020-c23.dd;978;910;734;677;734;581;592;618;538;54.99252247810364
../dimacs_analysis/uf20-020/uf20-020-c24.dd;1007;924;745;679;745;590;593;632;555;58.37435245513916
../dimacs_analysis/uf20-020/uf20-020-c25.dd;1343;1200;959;914;959;761;782;809;703;75.0439887046814
