benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-082/uf20-082-c1.dd;5;12;5;11;5;5;5;5;6;0.15286040306091309
../data/dimacs_analysis/uf20-082/uf20-082-c2.dd;10;25;10;23;10;10;10;12;14;0.4238321781158447
../data/dimacs_analysis/uf20-082/uf20-082-c3.dd;23;57;27;54;27;27;27;32;29;1.2537178993225098
../data/dimacs_analysis/uf20-082/uf20-082-c4.dd;42;88;50;84;50;47;49;55;49;2.1562857627868652
../data/dimacs_analysis/uf20-082/uf20-082-c5.dd;68;139;87;134;87;81;85;86;76;4.9405457973480225
../data/dimacs_analysis/uf20-082/uf20-082-c6.dd;132;256;162;251;162;150;160;167;150;9.608994245529175
../data/dimacs_analysis/uf20-082/uf20-082-c7.dd;136;253;163;235;163;151;163;168;146;9.492539882659912
../data/dimacs_analysis/uf20-082/uf20-082-c8.dd;196;341;212;307;212;196;216;196;177;14.850735187530518
../data/dimacs_analysis/uf20-082/uf20-082-c9.dd;232;382;267;347;267;249;259;234;209;16.20813250541687
../data/dimacs_analysis/uf20-082/uf20-082-c10.dd;244;402;275;363;275;255;267;244;220;16.6012282371521
../data/dimacs_analysis/uf20-082/uf20-082-c11.dd;293;467;330;426;330;297;320;283;252;19.301517248153687
../data/dimacs_analysis/uf20-082/uf20-082-c12.dd;325;505;359;464;359;320;350;317;279;22.131513595581055
../data/dimacs_analysis/uf20-082/uf20-082-c13.dd;403;593;415;546;415;375;407;373;332;27.809997081756592
../data/dimacs_analysis/uf20-082/uf20-082-c14.dd;497;735;533;676;533;472;515;469;413;38.83295774459839
../data/dimacs_analysis/uf20-082/uf20-082-c15.dd;535;738;540;685;540;477;518;467;416;38.3789496421814
../data/dimacs_analysis/uf20-082/uf20-082-c16.dd;893;1097;827;1036;827;700;791;642;589;58.17620253562927
