benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../dimacs_analysis/uf20-04/uf20-04-c1.dd;5;11;5;8;5;5;5;5;5;0.10089850425720215
../dimacs_analysis/uf20-04/uf20-04-c2.dd;12;28;14;24;14;14;14;12;14;0.4981801509857178
../dimacs_analysis/uf20-04/uf20-04-c3.dd;27;54;31;49;31;30;30;27;26;1.095456600189209
../dimacs_analysis/uf20-04/uf20-04-c4.dd;55;81;59;72;59;52;55;52;43;1.7546517848968506
../dimacs_analysis/uf20-04/uf20-04-c5.dd;72;98;73;85;73;66;64;63;52;2.4245619773864746
../dimacs_analysis/uf20-04/uf20-04-c6.dd;112;151;117;132;117;107;106;104;93;4.1701788902282715
../dimacs_analysis/uf20-04/uf20-04-c7.dd;137;177;142;158;142;127;128;122;108;4.812490701675415
../dimacs_analysis/uf20-04/uf20-04-c8.dd;157;199;154;171;154;134;136;139;120;5.749436855316162
../dimacs_analysis/uf20-04/uf20-04-c9.dd;227;275;213;242;213;184;197;195;166;7.713333368301392
../dimacs_analysis/uf20-04/uf20-04-c10.dd;285;334;265;283;265;224;236;245;206;9.406400442123413
../dimacs_analysis/uf20-04/uf20-04-c11.dd;342;399;316;334;316;268;279;288;242;14.501736879348755
../dimacs_analysis/uf20-04/uf20-04-c12.dd;386;435;352;365;352;302;311;307;260;15.018819570541382
../dimacs_analysis/uf20-04/uf20-04-c13.dd;602;657;539;558;539;446;480;458;384;22.95442271232605
../dimacs_analysis/uf20-04/uf20-04-c14.dd;567;620;509;528;509;422;454;427;365;21.421043872833252
../dimacs_analysis/uf20-04/uf20-04-c15.dd;556;590;488;503;488;409;437;410;340;19.00784182548523
../dimacs_analysis/uf20-04/uf20-04-c16.dd;568;610;503;518;503;423;445;422;357;21.317901134490967
../dimacs_analysis/uf20-04/uf20-04-c17.dd;638;636;528;538;528;434;465;438;366;23.601338148117065
../dimacs_analysis/uf20-04/uf20-04-c18.dd;791;768;639;661;639;519;574;540;442;26.172390460968018
../dimacs_analysis/uf20-04/uf20-04-c19.dd;1433;1088;903;951;903;727;826;783;628;36.88819718360901
../dimacs_analysis/uf20-04/uf20-04-c20.dd;1841;1242;1052;1087;1052;835;956;923;727;44.50363039970398
../dimacs_analysis/uf20-04/uf20-04-c21.dd;2380;1644;1418;1400;1418;1143;1262;1231;989;64.8401837348938
