benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-096/uf20-096-c1.dd;5;10;6;9;6;6;6;6;3;0.10294437408447266
../data/dimacs_analysis/uf20-096/uf20-096-c2.dd;11;25;11;23;11;10;11;14;13;0.3767387866973877
../data/dimacs_analysis/uf20-096/uf20-096-c3.dd;17;40;17;37;17;16;17;22;21;0.7471213340759277
../data/dimacs_analysis/uf20-096/uf20-096-c4.dd;33;74;38;70;38;37;37;37;37;1.8822517395019531
../data/dimacs_analysis/uf20-096/uf20-096-c5.dd;39;87;45;80;45;42;45;44;44;2.6244678497314453
../data/dimacs_analysis/uf20-096/uf20-096-c6.dd;43;92;49;84;49;46;49;45;45;2.688962697982788
../data/dimacs_analysis/uf20-096/uf20-096-c7.dd;70;138;80;126;80;78;78;71;71;4.474962472915649
../data/dimacs_analysis/uf20-096/uf20-096-c8.dd;124;236;151;218;151;148;144;134;128;8.287801265716553
../data/dimacs_analysis/uf20-096/uf20-096-c9.dd;129;240;153;210;153;146;138;140;133;8.110566139221191
../data/dimacs_analysis/uf20-096/uf20-096-c10.dd;217;367;257;316;257;242;228;228;206;15.209152460098267
../data/dimacs_analysis/uf20-096/uf20-096-c11.dd;239;412;288;357;288;267;261;246;226;21.125911951065063
../data/dimacs_analysis/uf20-096/uf20-096-c12.dd;295;499;341;436;341;326;311;298;276;27.91193675994873
../data/dimacs_analysis/uf20-096/uf20-096-c13.dd;462;691;497;592;497;442;439;435;387;50.59878873825073
