benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-090/uf20-090-c1.dd;5;12;5;9;5;5;5;5;5;0.19436955451965332
../data/dimacs_analysis/uf20-090/uf20-090-c2.dd;9;19;10;16;10;10;10;10;10;0.4360649585723877
../data/dimacs_analysis/uf20-090/uf20-090-c3.dd;19;41;21;37;21;20;21;24;23;1.1686949729919434
../data/dimacs_analysis/uf20-090/uf20-090-c4.dd;29;64;38;57;38;37;33;37;34;2.463059425354004
../data/dimacs_analysis/uf20-090/uf20-090-c5.dd;49;101;62;89;62;61;57;59;56;4.04344367980957
../data/dimacs_analysis/uf20-090/uf20-090-c6.dd;89;182;114;161;114;111;99;107;102;8.008122205734253
../data/dimacs_analysis/uf20-090/uf20-090-c7.dd;107;188;116;167;116;113;100;108;105;7.884599208831787
../data/dimacs_analysis/uf20-090/uf20-090-c8.dd;213;287;195;243;195;180;174;187;169;12.919670820236206
../data/dimacs_analysis/uf20-090/uf20-090-c9.dd;311;372;277;313;277;245;247;253;222;18.323142766952515
../data/dimacs_analysis/uf20-090/uf20-090-c10.dd;477;546;423;462;423;374;371;392;340;32.23067235946655
../data/dimacs_analysis/uf20-090/uf20-090-c11.dd;687;679;543;589;543;466;486;493;421;36.253462076187134
../data/dimacs_analysis/uf20-090/uf20-090-c12.dd;711;698;564;595;564;481;498;517;430;38.7284996509552
../data/dimacs_analysis/uf20-090/uf20-090-c13.dd;939;892;730;770;730;613;653;671;547;52.53386902809143
