benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-076/uf20-076-c1.dd;5;12;5;9;5;5;5;5;6;0.21192097663879395
../data/dimacs_analysis/uf20-076/uf20-076-c2.dd;12;32;14;26;14;14;15;14;15;0.8291149139404297
../data/dimacs_analysis/uf20-076/uf20-076-c3.dd;28;71;39;60;39;39;41;39;37;2.104111909866333
../data/dimacs_analysis/uf20-076/uf20-076-c4.dd;42;96;62;83;62;62;51;59;56;4.227782487869263
../data/dimacs_analysis/uf20-076/uf20-076-c5.dd;87;172;114;151;114;114;98;111;108;8.277615308761597
../data/dimacs_analysis/uf20-076/uf20-076-c6.dd;115;222;148;200;148;147;132;143;139;11.431643009185791
../data/dimacs_analysis/uf20-076/uf20-076-c7.dd;171;307;213;278;213;203;193;208;193;15.7555992603302
../data/dimacs_analysis/uf20-076/uf20-076-c8.dd;213;341;235;310;235;219;219;212;197;18.34064531326294
../data/dimacs_analysis/uf20-076/uf20-076-c9.dd;279;445;307;410;307;284;287;282;263;24.52499532699585
../data/dimacs_analysis/uf20-076/uf20-076-c10.dd;443;635;473;578;473;430;433;433;380;35.36164426803589
../data/dimacs_analysis/uf20-076/uf20-076-c11.dd;475;692;513;634;513;470;472;465;412;46.58474159240723
../data/dimacs_analysis/uf20-076/uf20-076-c12.dd;475;694;512;632;512;471;468;465;412;45.63053035736084
../data/dimacs_analysis/uf20-076/uf20-076-c13.dd;549;773;587;710;587;529;535;508;446;54.27024722099304
