benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-029/uf20-029-c1.dd;5;11;5;8;5;5;5;5;5;0.13916492462158203
../data/dimacs_analysis/uf20-029/uf20-029-c2.dd;7;16;8;11;8;8;8;8;7;0.2088778018951416
../data/dimacs_analysis/uf20-029/uf20-029-c3.dd;15;35;22;26;22;22;16;22;18;0.8461618423461914
../data/dimacs_analysis/uf20-029/uf20-029-c4.dd;25;57;34;47;34;34;28;34;31;1.805473804473877
../data/dimacs_analysis/uf20-029/uf20-029-c5.dd;33;77;46;62;46;46;38;45;43;2.6756961345672607
../data/dimacs_analysis/uf20-029/uf20-029-c6.dd;68;159;99;130;99;98;81;95;92;7.639605522155762
../data/dimacs_analysis/uf20-029/uf20-029-c7.dd;135;291;191;236;191;185;157;184;172;15.771152019500732
../data/dimacs_analysis/uf20-029/uf20-029-c8.dd;179;352;207;286;207;201;192;199;189;16.319360494613647
../data/dimacs_analysis/uf20-029/uf20-029-c9.dd;203;383;221;315;221;213;203;213;203;20.024859189987183
../data/dimacs_analysis/uf20-029/uf20-029-c10.dd;380;661;387;547;387;366;357;376;352;39.30917716026306
../data/dimacs_analysis/uf20-029/uf20-029-c11.dd;689;898;664;718;664;598;558;652;582;48.124348878860474
../data/dimacs_analysis/uf20-029/uf20-029-c12.dd;1013;1219;952;938;952;841;758;940;814;74.46476602554321
