benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../dimacs_analysis/uf20-02/uf20-02-c1.dd;5;12;5;9;5;5;5;5;6;0.0999155044555664
../dimacs_analysis/uf20-02/uf20-02-c2.dd;10;20;10;15;10;10;11;10;10;0.1838090419769287
../dimacs_analysis/uf20-02/uf20-02-c3.dd;22;40;22;29;22;22;19;20;19;0.6067204475402832
../dimacs_analysis/uf20-02/uf20-02-c4.dd;40;57;37;42;37;36;29;33;29;1.0276126861572266
../dimacs_analysis/uf20-02/uf20-02-c5.dd;66;93;59;75;59;58;50;57;52;2.1394200325012207
../dimacs_analysis/uf20-02/uf20-02-c6.dd;82;116;78;97;78;77;68;70;65;3.1024410724639893
../dimacs_analysis/uf20-02/uf20-02-c7.dd;90;129;87;106;87;86;77;79;74;3.6831836700439453
../dimacs_analysis/uf20-02/uf20-02-c8.dd;174;227;157;197;157;155;147;145;137;6.872114896774292
../dimacs_analysis/uf20-02/uf20-02-c9.dd;289;342;239;289;239;220;215;228;204;12.660923957824707
../dimacs_analysis/uf20-02/uf20-02-c10.dd;318;366;256;312;256;237;231;245;221;15.034651756286621
../dimacs_analysis/uf20-02/uf20-02-c11.dd;330;425;296;357;296;275;263;284;258;16.223702430725098
../dimacs_analysis/uf20-02/uf20-02-c12.dd;363;465;321;394;321;302;288;309;283;15.79503321647644
../dimacs_analysis/uf20-02/uf20-02-c13.dd;409;477;333;397;333;305;296;321;287;15.789236783981323
../dimacs_analysis/uf20-02/uf20-02-c14.dd;509;576;397;481;397;369;365;389;357;21.486016988754272
../dimacs_analysis/uf20-02/uf20-02-c15.dd;828;833;554;725;554;514;518;540;490;32.80704307556152
../dimacs_analysis/uf20-02/uf20-02-c16.dd;880;898;612;769;612;573;570;598;553;37.92106819152832
../dimacs_analysis/uf20-02/uf20-02-c17.dd;1002;913;648;766;648;607;586;633;583;41.055423736572266
../dimacs_analysis/uf20-02/uf20-02-c18.dd;1022;914;646;746;646;602;581;634;584;42.09912419319153
../dimacs_analysis/uf20-02/uf20-02-c19.dd;1296;1075;767;888;767;706;706;747;667;51.17842936515808
../dimacs_analysis/uf20-02/uf20-02-c20.dd;1447;1150;817;963;817;753;763;796;700;50.8593327999115
../dimacs_analysis/uf20-02/uf20-02-c21.dd;1482;1215;863;1006;863;794;785;825;725;56.72218871116638
../dimacs_analysis/uf20-02/uf20-02-c22.dd;1707;1305;943;1086;943;861;857;904;790;61.07116746902466
