benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-072/uf20-072-c1.dd;5;11;6;8;6;6;6;6;5;0.14191842079162598
../data/dimacs_analysis/uf20-072/uf20-072-c2.dd;12;27;17;23;17;17;15;17;13;0.4905247688293457
../data/dimacs_analysis/uf20-072/uf20-072-c3.dd;23;44;29;35;29;28;24;25;21;0.8903851509094238
../data/dimacs_analysis/uf20-072/uf20-072-c4.dd;51;96;57;75;57;55;57;51;46;2.8488962650299072
../data/dimacs_analysis/uf20-072/uf20-072-c5.dd;71;120;72;99;72;70;72;67;63;4.296155691146851
../data/dimacs_analysis/uf20-072/uf20-072-c6.dd;115;178;120;150;120;115;118;103;99;6.527548551559448
../data/dimacs_analysis/uf20-072/uf20-072-c7.dd;124;185;128;159;128;121;124;109;104;7.1918511390686035
../data/dimacs_analysis/uf20-072/uf20-072-c8.dd;144;202;139;175;139;131;133;119;112;8.566145181655884
../data/dimacs_analysis/uf20-072/uf20-072-c9.dd;206;291;204;248;204;184;187;170;159;13.262512922286987
../data/dimacs_analysis/uf20-072/uf20-072-c10.dd;322;380;292;329;292;237;270;233;210;16.70854926109314
../data/dimacs_analysis/uf20-072/uf20-072-c11.dd;500;518;413;454;413;335;385;346;294;24.59040403366089
../data/dimacs_analysis/uf20-072/uf20-072-c12.dd;446;531;423;464;423;344;392;351;300;35.82081127166748
../data/dimacs_analysis/uf20-072/uf20-072-c13.dd;666;801;647;714;647;526;600;567;464;60.66624665260315
