benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-030/uf20-030-c1.dd;5;12;5;11;5;5;5;5;5;0.15015411376953125
../data/dimacs_analysis/uf20-030/uf20-030-c2.dd;8;20;10;17;10;10;9;9;9;0.3798365592956543
../data/dimacs_analysis/uf20-030/uf20-030-c3.dd;9;23;11;19;11;11;10;10;10;0.43157196044921875
../data/dimacs_analysis/uf20-030/uf20-030-c4.dd;21;52;27;45;27;27;26;27;26;1.314908504486084
../data/dimacs_analysis/uf20-030/uf20-030-c5.dd;32;73;39;60;39;39;38;38;36;2.3095335960388184
../data/dimacs_analysis/uf20-030/uf20-030-c6.dd;37;82;43;69;43;43;41;42;40;2.7215487957000732
../data/dimacs_analysis/uf20-030/uf20-030-c7.dd;46;103;55;85;55;54;54;52;50;4.129802942276001
../data/dimacs_analysis/uf20-030/uf20-030-c8.dd;77;147;97;117;97;93;84;83;76;5.9722466468811035
../data/dimacs_analysis/uf20-030/uf20-030-c9.dd;142;238;164;198;164;152;143;141;129;12.373576164245605
../data/dimacs_analysis/uf20-030/uf20-030-c10.dd;153;252;175;211;175;163;154;148;135;14.980690240859985
../data/dimacs_analysis/uf20-030/uf20-030-c11.dd;158;259;181;217;181;170;159;152;140;15.196107149124146
../data/dimacs_analysis/uf20-030/uf20-030-c12.dd;180;282;199;236;199;184;173;169;153;15.078070878982544
../data/dimacs_analysis/uf20-030/uf20-030-c13.dd;337;463;353;391;353;313;304;303;267;25.90030074119568
../data/dimacs_analysis/uf20-030/uf20-030-c14.dd;459;597;451;509;451;393;387;393;349;31.144057989120483
../data/dimacs_analysis/uf20-030/uf20-030-c15.dd;503;647;489;553;489;429;420;438;382;33.58283615112305
../data/dimacs_analysis/uf20-030/uf20-030-c16.dd;597;772;585;649;585;505;497;522;448;50.44954252243042
