benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-045/uf20-045-c1.dd;5;11;6;8;6;6;6;6;5;0.1428694725036621
../data/dimacs_analysis/uf20-045/uf20-045-c2.dd;8;19;9;14;9;9;10;9;9;0.36023712158203125
../data/dimacs_analysis/uf20-045/uf20-045-c3.dd;10;23;10;18;10;10;11;11;10;0.42249536514282227
../data/dimacs_analysis/uf20-045/uf20-045-c4.dd;20;42;20;35;20;19;24;21;19;0.9599916934967041
../data/dimacs_analysis/uf20-045/uf20-045-c5.dd;44;87;51;74;51;47;52;48;40;2.9330215454101562
../data/dimacs_analysis/uf20-045/uf20-045-c6.dd;74;128;80;113;80;73;81;77;64;5.000497102737427
../data/dimacs_analysis/uf20-045/uf20-045-c7.dd;86;149;96;133;96;89;97;97;80;5.594786643981934
../data/dimacs_analysis/uf20-045/uf20-045-c8.dd;108;186;124;164;124;115;121;125;107;6.9607789516448975
../data/dimacs_analysis/uf20-045/uf20-045-c9.dd;108;185;123;156;123;114;112;123;105;6.7723472118377686
../data/dimacs_analysis/uf20-045/uf20-045-c10.dd;114;195;130;158;130;121;113;132;115;6.9619457721710205
../data/dimacs_analysis/uf20-045/uf20-045-c11.dd;110;187;124;150;124;115;107;126;111;6.517096757888794
../data/dimacs_analysis/uf20-045/uf20-045-c12.dd;176;284;191;231;191;176;162;176;164;12.423649549484253
../data/dimacs_analysis/uf20-045/uf20-045-c13.dd;306;461;312;396;312;287;275;298;275;22.28329038619995
../data/dimacs_analysis/uf20-045/uf20-045-c14.dd;441;547;416;454;416;371;348;386;331;26.167873859405518
../data/dimacs_analysis/uf20-045/uf20-045-c15.dd;491;602;467;486;467;412;378;436;371;34.231772899627686
../data/dimacs_analysis/uf20-045/uf20-045-c16.dd;483;588;460;479;460;403;371;429;364;34.04396295547485
../data/dimacs_analysis/uf20-045/uf20-045-c17.dd;493;598;463;488;463;400;375;432;368;31.03704261779785
../data/dimacs_analysis/uf20-045/uf20-045-c18.dd;497;592;456;482;456;394;368;427;369;30.2504301071167
../data/dimacs_analysis/uf20-045/uf20-045-c19.dd;529;605;467;492;467;403;378;439;380;30.79012894630432
../data/dimacs_analysis/uf20-045/uf20-045-c20.dd;696;680;545;559;545;452;453;512;429;36.49242687225342
../data/dimacs_analysis/uf20-045/uf20-045-c21.dd;979;879;713;722;713;564;589;672;556;49.865936040878296
../data/dimacs_analysis/uf20-045/uf20-045-c22.dd;948;865;709;714;709;552;591;648;525;44.62038445472717
../data/dimacs_analysis/uf20-045/uf20-045-c23.dd;991;875;718;724;718;563;596;659;540;44.29699635505676
../data/dimacs_analysis/uf20-045/uf20-045-c24.dd;1112;945;781;762;781;623;633;708;585;51.59891724586487
