benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-068/uf20-068-c1.dd;5;11;6;8;6;6;4;6;5;0.16829586029052734
../data/dimacs_analysis/uf20-068/uf20-068-c2.dd;12;28;16;22;16;16;12;15;14;0.626157283782959
../data/dimacs_analysis/uf20-068/uf20-068-c3.dd;22;51;29;40;29;29;24;28;27;1.3041050434112549
../data/dimacs_analysis/uf20-068/uf20-068-c4.dd;40;76;44;65;44;44;38;43;41;2.391122579574585
../data/dimacs_analysis/uf20-068/uf20-068-c5.dd;92;179;99;159;99;98;89;97;93;7.581667184829712
../data/dimacs_analysis/uf20-068/uf20-068-c6.dd;116;234;132;209;132;131;118;129;123;10.477038621902466
../data/dimacs_analysis/uf20-068/uf20-068-c7.dd;122;244;137;219;137;133;128;136;133;11.3155198097229
../data/dimacs_analysis/uf20-068/uf20-068-c8.dd;224;457;258;420;258;254;242;259;249;22.91268229484558
../data/dimacs_analysis/uf20-068/uf20-068-c9.dd;364;590;416;547;416;404;392;408;354;34.36959743499756
../data/dimacs_analysis/uf20-068/uf20-068-c10.dd;378;616;448;571;448;430;418;417;361;33.79759097099304
../data/dimacs_analysis/uf20-068/uf20-068-c11.dd;380;617;444;571;444;426;420;417;361;31.965353965759277
../data/dimacs_analysis/uf20-068/uf20-068-c12.dd;471;717;538;646;538;508;490;500;421;41.219874143600464
../data/dimacs_analysis/uf20-068/uf20-068-c13.dd;693;941;711;840;711;653;651;648;562;62.70311784744263
