benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-041/uf20-041-c1.dd;5;11;5;10;5;5;5;5;5;0.1264805793762207
../data/dimacs_analysis/uf20-041/uf20-041-c2.dd;10;23;10;22;10;10;10;10;12;0.4996340274810791
../data/dimacs_analysis/uf20-041/uf20-041-c3.dd;22;39;23;37;23;22;23;26;20;0.8334536552429199
../data/dimacs_analysis/uf20-041/uf20-041-c4.dd;26;47;29;45;29;28;29;28;24;1.3257362842559814
../data/dimacs_analysis/uf20-041/uf20-041-c5.dd;35;60;40;57;40;39;39;37;32;2.112053155899048
../data/dimacs_analysis/uf20-041/uf20-041-c6.dd;50;79;55;74;55;54;55;54;44;2.6558141708374023
../data/dimacs_analysis/uf20-041/uf20-041-c7.dd;50;88;58;80;58;57;59;58;55;2.8482093811035156
../data/dimacs_analysis/uf20-041/uf20-041-c8.dd;68;116;81;107;81;77;80;76;68;4.366122484207153
../data/dimacs_analysis/uf20-041/uf20-041-c9.dd;93;153;112;140;112;103;106;105;89;7.003920316696167
../data/dimacs_analysis/uf20-041/uf20-041-c10.dd;127;190;141;172;141;126;132;128;107;8.567805290222168
../data/dimacs_analysis/uf20-041/uf20-041-c11.dd;139;197;150;179;150;131;139;135;112;9.155203342437744
../data/dimacs_analysis/uf20-041/uf20-041-c12.dd;135;194;145;175;145;128;135;132;110;8.67031192779541
../data/dimacs_analysis/uf20-041/uf20-041-c13.dd;164;213;167;192;167;145;153;145;117;9.531030416488647
../data/dimacs_analysis/uf20-041/uf20-041-c14.dd;243;294;234;255;234;193;214;211;172;14.302194118499756
../data/dimacs_analysis/uf20-041/uf20-041-c15.dd;254;307;241;265;241;201;225;221;183;14.632801532745361
../data/dimacs_analysis/uf20-041/uf20-041-c16.dd;428;497;401;446;401;332;372;362;298;28.603089332580566
../data/dimacs_analysis/uf20-041/uf20-041-c17.dd;627;706;575;647;575;476;540;508;405;44.84942603111267
../data/dimacs_analysis/uf20-041/uf20-041-c18.dd;635;674;547;615;547;466;512;479;395;42.35113716125488
../data/dimacs_analysis/uf20-041/uf20-041-c19.dd;580;600;483;546;483;417;451;412;344;34.89017081260681
../data/dimacs_analysis/uf20-041/uf20-041-c20.dd;660;669;558;614;558;471;524;470;394;45.12917733192444
../data/dimacs_analysis/uf20-041/uf20-041-c21.dd;714;713;591;655;591;493;556;508;427;48.91836214065552
../data/dimacs_analysis/uf20-041/uf20-041-c22.dd;734;722;609;637;609;503;556;531;442;56.475308656692505
