benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-0100/uf20-0100-c1.dd;5;11;6;8;6;6;4;6;5;0.14846229553222656
../data/dimacs_analysis/uf20-0100/uf20-0100-c2.dd;8;20;9;17;9;9;8;10;10;0.4194967746734619
../data/dimacs_analysis/uf20-0100/uf20-0100-c3.dd;13;32;17;27;17;17;15;16;16;0.7856225967407227
../data/dimacs_analysis/uf20-0100/uf20-0100-c4.dd;25;59;32;52;32;32;30;34;32;1.8115272521972656
../data/dimacs_analysis/uf20-0100/uf20-0100-c5.dd;54;114;67;102;67;65;63;72;64;4.581410884857178
../data/dimacs_analysis/uf20-0100/uf20-0100-c6.dd;74;153;91;132;91;89;79;96;87;6.576378345489502
../data/dimacs_analysis/uf20-0100/uf20-0100-c7.dd;132;245;149;220;149;142;137;160;139;11.965621709823608
../data/dimacs_analysis/uf20-0100/uf20-0100-c8.dd;202;356;229;318;229;214;211;238;203;18.956987857818604
../data/dimacs_analysis/uf20-0100/uf20-0100-c9.dd;256;449;297;398;297;277;271;306;260;23.190369844436646
../data/dimacs_analysis/uf20-0100/uf20-0100-c10.dd;386;632;452;530;452;415;359;449;376;37.48759984970093
../data/dimacs_analysis/uf20-0100/uf20-0100-c11.dd;614;869;630;743;630;579;516;630;558;52.49537134170532
