benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-067/uf20-067-c1.dd;5;12;5;11;5;5;5;5;6;0.14717721939086914
../data/dimacs_analysis/uf20-067/uf20-067-c2.dd;12;30;12;28;12;12;12;15;15;0.6836769580841064
../data/dimacs_analysis/uf20-067/uf20-067-c3.dd;23;56;28;53;28;28;28;33;33;1.1854960918426514
../data/dimacs_analysis/uf20-067/uf20-067-c4.dd;39;85;49;77;49;49;46;54;50;1.9122247695922852
../data/dimacs_analysis/uf20-067/uf20-067-c5.dd;44;99;60;90;60;60;56;61;56;3.104269027709961
../data/dimacs_analysis/uf20-067/uf20-067-c6.dd;53;117;74;105;74;74;66;73;66;4.101578950881958
../data/dimacs_analysis/uf20-067/uf20-067-c7.dd;61;129;81;115;81;81;74;80;72;4.682301044464111
../data/dimacs_analysis/uf20-067/uf20-067-c8.dd;81;147;96;121;96;96;82;86;78;7.893258333206177
../data/dimacs_analysis/uf20-067/uf20-067-c9.dd;106;184;123;155;123;121;117;102;94;9.470154047012329
../data/dimacs_analysis/uf20-067/uf20-067-c10.dd;154;270;175;229;175;171;170;154;142;13.624271392822266
../data/dimacs_analysis/uf20-067/uf20-067-c11.dd;233;352;238;303;238;221;229;209;191;17.81673812866211
../data/dimacs_analysis/uf20-067/uf20-067-c12.dd;340;495;363;437;363;330;341;324;282;28.876768827438354
../data/dimacs_analysis/uf20-067/uf20-067-c13.dd;442;622;456;558;456;407;434;414;350;38.02086806297302
../data/dimacs_analysis/uf20-067/uf20-067-c14.dd;466;666;488;590;488;436;457;446;380;40.115259408950806
../data/dimacs_analysis/uf20-067/uf20-067-c15.dd;523;735;537;620;537;466;488;486;416;48.044944286346436
../data/dimacs_analysis/uf20-067/uf20-067-c16.dd;520;718;526;606;526;456;474;467;402;46.66859722137451
../data/dimacs_analysis/uf20-067/uf20-067-c17.dd;538;708;523;599;523;458;466;465;402;50.47692131996155
