benchmark-name;init;norm;bdd;zbdd;tbdd;cbdd;czdd;esr;abdd;elapsed
../data/dimacs_analysis/uf20-052/uf20-052-c1.dd;5;11;6;10;6;6;6;4;4;0.13912010192871094
../data/dimacs_analysis/uf20-052/uf20-052-c2.dd;12;28;16;25;16;16;17;14;13;0.5398318767547607
../data/dimacs_analysis/uf20-052/uf20-052-c3.dd;20;41;23;38;23;23;23;21;19;1.1312170028686523
../data/dimacs_analysis/uf20-052/uf20-052-c4.dd;28;60;36;55;36;35;36;30;27;1.8987689018249512
../data/dimacs_analysis/uf20-052/uf20-052-c5.dd;49;88;60;74;60;56;54;48;41;3.020052909851074
../data/dimacs_analysis/uf20-052/uf20-052-c6.dd;103;171;121;151;121;113;108;98;87;6.621885538101196
../data/dimacs_analysis/uf20-052/uf20-052-c7.dd;111;177;125;151;125;111;108;116;106;7.5540220737457275
../data/dimacs_analysis/uf20-052/uf20-052-c8.dd;159;236;161;207;161;141;143;154;139;11.61593222618103
../data/dimacs_analysis/uf20-052/uf20-052-c9.dd;259;386;266;349;266;233;241;260;231;19.675687313079834
../data/dimacs_analysis/uf20-052/uf20-052-c10.dd;295;419;302;379;302;260;271;282;245;25.26138138771057
../data/dimacs_analysis/uf20-052/uf20-052-c11.dd;442;637;466;585;466;394;426;450;389;36.6375617980957
../data/dimacs_analysis/uf20-052/uf20-052-c12.dd;510;681;518;631;518;428;480;487;408;38.58002996444702
../data/dimacs_analysis/uf20-052/uf20-052-c13.dd;475;630;476;577;476;397;434;450;382;36.16624307632446
../data/dimacs_analysis/uf20-052/uf20-052-c14.dd;540;703;549;609;549;466;498;514;431;57.45087432861328
